"EventGroup","ImpactType","value","geography","table"
"Yellowstone_MA","Induced",444.970870344253,"Park County, MT (2024)","Impact"
"Gallatin_MA","Induced",328.717577017715,"Ravalli County, MT (2024)","Impact"
"Madison","Induced",143.345401692158,"Ravalli County, MT (2024)","Impact"
"Madison_MA","Induced",609.654674407551,"Ravalli County, MT (2024)","Impact"
"Missoula","Indirect",13777.6760210682,"Ravalli County, MT (2024)","Impact"
"Missoula","Induced",24743.176094429,"Ravalli County, MT (2024)","Impact"
"Missoula_MA","Indirect",4000.87154545251,"Ravalli County, MT (2024)","Impact"
"Missoula_MA","Induced",7562.97272551324,"Ravalli County, MT (2024)","Impact"
"Ravalli","Direct",390570.909069223,"Ravalli County, MT (2024)","Impact"
"Ravalli","Indirect",181720.59975039,"Ravalli County, MT (2024)","Impact"
"Ravalli","Induced",59698.1753807915,"Ravalli County, MT (2024)","Impact"
"Rest of MT","Induced",333.656723208431,"Ravalli County, MT (2024)","Impact"
"Gallatin","Indirect",9485.91089005474,"Yellowstone County, MT (2024)","Impact"
"Gallatin","Induced",2905.14641497393,"Yellowstone County, MT (2024)","Impact"
"Gallatin_MA","Indirect",73406.861604942,"Yellowstone County, MT (2024)","Impact"
"Gallatin_MA","Induced",22212.3231683161,"Yellowstone County, MT (2024)","Impact"
"Glacier","Indirect",205.301120012956,"Yellowstone County, MT (2024)","Impact"
"Glacier","Induced",47.9959472300487,"Yellowstone County, MT (2024)","Impact"
"Lewis and Clark","Induced",585.699410054259,"Yellowstone County, MT (2024)","Impact"
"Madison","Indirect",2562.07496552593,"Yellowstone County, MT (2024)","Impact"
"Madison","Induced",1268.45404473708,"Yellowstone County, MT (2024)","Impact"
"Madison_MA","Indirect",11786.3274288269,"Yellowstone County, MT (2024)","Impact"
"Madison_MA","Induced",7003.24409352934,"Yellowstone County, MT (2024)","Impact"
"Missoula","Indirect",286.125508077541,"Yellowstone County, MT (2024)","Impact"
"Missoula","Induced",937.190872495526,"Yellowstone County, MT (2024)","Impact"
"Missoula_MA","Indirect",88.3562134763349,"Yellowstone County, MT (2024)","Impact"
"Missoula_MA","Induced",289.406692030569,"Yellowstone County, MT (2024)","Impact"
"Park","Indirect",44039.7075335211,"Yellowstone County, MT (2024)","Impact"
"Park","Induced",10577.825204027,"Yellowstone County, MT (2024)","Impact"
"Park_MA","Indirect",58854.9614087271,"Yellowstone County, MT (2024)","Impact"
"Park_MA","Induced",14097.5497412765,"Yellowstone County, MT (2024)","Impact"
"Ravalli","Indirect",262.698476787836,"Yellowstone County, MT (2024)","Impact"
"Ravalli","Induced",14.1416192617468,"Yellowstone County, MT (2024)","Impact"
"Rest of MT","Indirect",13829.6278843329,"Yellowstone County, MT (2024)","Impact"
"Rest of MT","Induced",6971.88411347994,"Yellowstone County, MT (2024)","Impact"
"Rest of MT_MA","Indirect",484.518367267797,"Yellowstone County, MT (2024)","Impact"
"Rest of MT_MA","Induced",361.460414594228,"Yellowstone County, MT (2024)","Impact"
"Yellowstone","Direct",197662.29039872,"Yellowstone County, MT (2024)","Impact"
"Yellowstone","Indirect",98053.5424370043,"Yellowstone County, MT (2024)","Impact"
"Yellowstone","Induced",37463.6459270839,"Yellowstone County, MT (2024)","Impact"
"Yellowstone_MA","Direct",1789234.96384009,"Yellowstone County, MT (2024)","Impact"
"Yellowstone_MA","Indirect",887810.565294761,"Yellowstone County, MT (2024)","Impact"
"Yellowstone_MA","Induced",339351.327564907,"Yellowstone County, MT (2024)","Impact"
"Beaverhead","Direct",4365.11943502045,"Beaverhead County, MT (2024)","Employee Compensation"
"Beaverhead","Indirect",2530.94608450175,"Beaverhead County, MT (2024)","Employee Compensation"
"Beaverhead","Induced",916.615160785342,"Beaverhead County, MT (2024)","Employee Compensation"
"Gallatin","Indirect",254.896116011054,"Beaverhead County, MT (2024)","Employee Compensation"
"Gallatin","Induced",87.4561182161655,"Beaverhead County, MT (2024)","Employee Compensation"
"Gallatin_MA","Indirect",1847.18935095723,"Beaverhead County, MT (2024)","Employee Compensation"
"Gallatin_MA","Induced",704.081347732404,"Beaverhead County, MT (2024)","Employee Compensation"
"Lewis and Clark","Induced",16.181075855538,"Beaverhead County, MT (2024)","Employee Compensation"
"Madison","Indirect",596.603797358036,"Beaverhead County, MT (2024)","Employee Compensation"
"Madison","Induced",1725.75415417492,"Beaverhead County, MT (2024)","Employee Compensation"
"Madison_MA","Indirect",2652.27535503355,"Beaverhead County, MT (2024)","Employee Compensation"
"Madison_MA","Induced",7410.08505547424,"Beaverhead County, MT (2024)","Employee Compensation"
"Missoula","Indirect",15.6445820381206,"Beaverhead County, MT (2024)","Employee Compensation"
"Missoula","Induced",3.10426057220771,"Beaverhead County, MT (2024)","Employee Compensation"
"Park","Indirect",146.288512768466,"Beaverhead County, MT (2024)","Employee Compensation"
"Park","Induced",47.104882570936,"Beaverhead County, MT (2024)","Employee Compensation"
"Park_MA","Indirect",216.623739774421,"Beaverhead County, MT (2024)","Employee Compensation"
"Park_MA","Induced",65.3466515631958,"Beaverhead County, MT (2024)","Employee Compensation"
"Ravalli","Indirect",44.0531527350974,"Beaverhead County, MT (2024)","Employee Compensation"
"Ravalli","Induced",6.24018061510452,"Beaverhead County, MT (2024)","Employee Compensation"
"Silver Bow","Indirect",111.967964402544,"Beaverhead County, MT (2024)","Employee Compensation"
"Silver Bow","Induced",31.8623844026901,"Beaverhead County, MT (2024)","Employee Compensation"
"Beaverhead","Indirect",171.378164793646,"Gallatin County, MT (2024)","Employee Compensation"
"Beaverhead","Induced",53.6655017102998,"Gallatin County, MT (2024)","Employee Compensation"
"Cascade","Indirect",386.498392277931,"Gallatin County, MT (2024)","Employee Compensation"
"Cascade","Induced",173.797168521702,"Gallatin County, MT (2024)","Employee Compensation"
"Gallatin","Direct",206480.409775593,"Gallatin County, MT (2024)","Employee Compensation"
"Gallatin","Indirect",118359.731876928,"Gallatin County, MT (2024)","Employee Compensation"
"Gallatin","Induced",65689.0002334464,"Gallatin County, MT (2024)","Employee Compensation"
"Gallatin_MA","Direct",1481869.61715678,"Gallatin County, MT (2024)","Employee Compensation"
"Gallatin_MA","Indirect",852843.309130538,"Gallatin County, MT (2024)","Employee Compensation"
"Gallatin_MA","Induced",472292.883085631,"Gallatin County, MT (2024)","Employee Compensation"
"Glacier","Indirect",54.1869367910234,"Gallatin County, MT (2024)","Employee Compensation"
"Glacier","Induced",15.6687690330917,"Gallatin County, MT (2024)","Employee Compensation"
"Lewis and Clark","Indirect",1134.08550320848,"Gallatin County, MT (2024)","Employee Compensation"
"Lewis and Clark","Induced",497.76149770181,"Gallatin County, MT (2024)","Employee Compensation"
"Madison","Indirect",3825.0209982282,"Gallatin County, MT (2024)","Employee Compensation"
"Madison","Induced",41947.1972073202,"Gallatin County, MT (2024)","Employee Compensation"
"Madison_MA","Indirect",16754.9478321656,"Gallatin County, MT (2024)","Employee Compensation"
"Madison_MA","Induced",178714.729945913,"Gallatin County, MT (2024)","Employee Compensation"
"Missoula","Indirect",79.8611248710403,"Gallatin County, MT (2024)","Employee Compensation"
"Missoula","Induced",57.5120107850163,"Gallatin County, MT (2024)","Employee Compensation"
"Missoula_MA","Indirect",24.6612986202321,"Gallatin County, MT (2024)","Employee Compensation"
"Missoula_MA","Induced",7.04237364411837,"Gallatin County, MT (2024)","Employee Compensation"
"Park","Indirect",163430.864279452,"Gallatin County, MT (2024)","Employee Compensation"
