"NAICS_2","FTE","EventGroup","table"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.00638978670722574,"Lewis and Clark_MA","All Impacts"
"22 Utilities",0.0270393538339663,"Lewis and Clark_MA","All Impacts"
"23 Construction",0.0854610685934226,"Lewis and Clark_MA","All Impacts"
"31-33 Manufacturing",0.0278421824921119,"Lewis and Clark_MA","All Impacts"
"42 Wholesale Trade",0.124156096458616,"Lewis and Clark_MA","All Impacts"
"44-45 Retail Trade",0.682793231268192,"Lewis and Clark_MA","All Impacts"
"48-49 Transportation and Warehousing",0.414579931992448,"Lewis and Clark_MA","All Impacts"
"51 Information",11.1800245741233,"Lewis and Clark_MA","All Impacts"
"52 Finance and Insurance",0.717123550605009,"Lewis and Clark_MA","All Impacts"
"53 Real Estate and Rental and Leasing",0.86111321229962,"Lewis and Clark_MA","All Impacts"
"54 Professional, Scientific, and Technical Services",0.78680189164475,"Lewis and Clark_MA","All Impacts"
"55 Management of Companies and Enterprises",0.0668750042632926,"Lewis and Clark_MA","All Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.71805255864765,"Lewis and Clark_MA","All Impacts"
"61 Educational Services",0.127788291999501,"Lewis and Clark_MA","All Impacts"
"62 Health Care and Social Assistance",0.94266336802309,"Lewis and Clark_MA","All Impacts"
"71 Arts, Entertainment, and Recreation",1.23042313098745,"Lewis and Clark_MA","All Impacts"
"72 Accommodation and Food Services",0.570902605203503,"Lewis and Clark_MA","All Impacts"
"81 Other Services (except Public Administration)",0.515347292033022,"Lewis and Clark_MA","All Impacts"
"9A Government Enterprises",0.0521930486573944,"Lewis and Clark_MA","All Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.00957525867843721,"Lewis and Clark_MA","Indirect & Induced Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.00638978670722574,"Lewis and Clark_MA","Indirect & Induced Impacts"
"22 Utilities",0.0270393538339663,"Lewis and Clark_MA","Indirect & Induced Impacts"
"23 Construction",0.0854610685934226,"Lewis and Clark_MA","Indirect & Induced Impacts"
"31-33 Manufacturing",0.0278421824921119,"Lewis and Clark_MA","Indirect & Induced Impacts"
"42 Wholesale Trade",0.124156096458616,"Lewis and Clark_MA","Indirect & Induced Impacts"
"44-45 Retail Trade",0.682793231268192,"Lewis and Clark_MA","Indirect & Induced Impacts"
"48-49 Transportation and Warehousing",0.414579931992448,"Lewis and Clark_MA","Indirect & Induced Impacts"
